SCHOOL CODE,DESIGN #,school name
000374,E374A2,ST. CECILIA  - TX-374
000374,E374B1,ST. CECILIA  - TX-374
000374,ELM,ST. CECILIA  - TX-374
000374,S 374,ST. CECILIA 
000378,2171B8172,QUEEN OF PEACE 
000378,2171B8173,QUEEN OF PEACE 
000378,2171B8174,QUEEN OF PEACE 
000378,2171B8175,QUEEN OF PEACE 
000378,E378A1,QUEEN OF PEACE  - TX-378
000378,E378B1,QUEEN OF PEACE  - TX-378
000380,ELM,CARROLLTON CHRISTIAN ACADEMY  - TX-380
000380,MISSING,CARROLLTON CHRISTIAN ACADEMY  - TX-380
000381,2171B2484,INCARNATE WORD ACADEMY 
000381,2171B2512,INCARNATE WORD ACADEMY 
000381,2171B3171,INCARNATE WORD ACADEMY 
000381,2171B7870,INCARNATE WORD ACADEMY 
000381,2171B7871,INCARNATE WORD ACADEMY 
000381,E-381A1,INCARNATE WORD ACADEMY 
000384,000000,MISSING
000385,000000,Discontinued Account - TX-000000
000385,F385,NONE
000385,P385,NONE
000386,000000,Our Lady of Mt. Carmel Elementary
000386,E386A1,OUR LADY OF MT. CARMEL ELEMENTARY  - TX-386
000389,000000,MISSING
000389,S 389,RIVER OAKS BAPTIST 
000390,2171B8304,MT. CARMEL HIGH SCHOOL 
000390,2171B8546,MT. CARMEL HIGH SCHOOL 
000390,2171B8547,MT. CARMEL HIGH SCHOOL 
000390,ELM,MT. CARMEL HIGH SCHOOL  - TX-390
000390,M390,MT. CARMEL HIGH SCHOOL 
000393,000000,MISSING
000393,2171B3664,ST. FRANCIS OF ASSISI 
000393,2171B3665,ST. FRANCIS OF ASSISI 
000393,2171B3666,ST. FRANCIS OF ASSISI 
000393,2171B3673,ST. FRANCIS OF ASSISI 
000393,2171B3674,ST. FRANCIS OF ASSISI 
000393,2171B3675,ST. FRANCIS OF ASSISI 
000396,2171B8289,ST. AUGUSTINE SCHOOL 
000396,2171B8290,ST. AUGUSTINE SCHOOL 
000396,2171B8291,ST. AUGUSTINE SCHOOL 
000396,2171B8588,ST. AUGUSTINE SCHOOL 
000396,2171B8589,ST. AUGUSTINE SCHOOL 
000396,2171B8590,ST. AUGUSTINE SCHOOL 
000396,2171B8591,ST. AUGUSTINE SCHOOL 
000396,EPO,ST. AUGUSTINE SCHOOL  - TX-396
000396,MISSING,ST. AUGUSTINE SCHOOL  - TX-396
000401,2171B1383,TRINITY CATHOLIC  HIGH SCHOOL 
000401,2171B1384,TRINITY CATHOLIC  HIGH SCHOOL 
000401,2171B1385,TRINITY CATHOLIC  HIGH SCHOOL 
000401,2171B1386,TRINITY CATHOLIC  HIGH SCHOOL 
000401,2171B1387,TRINITY CATHOLIC  HIGH SCHOOL 
000401,2171B1388,TRINITY CATHOLIC  HIGH SCHOOL 
000401,E401A2,TRINITY CATHOLIC  HIGH SCHOOL  - KS-401
000401,ELM,TRINITY CATHOLIC  HIGH SCHOOL  - KS-401
000404,S404,Wesley International
000408,VM408,MISSING
000410,P410,NONE
000415,2171B3573,ST. THEODORE HOLY FAMILY SCHOOL 
000415,2171B3574,ST. THEODORE HOLY FAMILY SCHOOL 
000416,2171B1447,IMMACULATE CONCEPTION 
000416,2171B7906,IMMACULATE CONCEPTION 
000416,E416A1,IMMACULATE CONCEPTION  - LA-416
000416,S 416,IMMACULATE CONCEPTION 
000419,S 419,CARLISLE SCHOOL 
000438,E-3098A1,St. John the Apostle
000438,E438A1,ST. JOHN THE APOSTLE  - TX-438
000438,E438A2,ST. JOHN THE APOSTLE  - TX-438
000438,S 438,ST. JOHN THE APOSTLE 
000445,P445,NONE
000446,E446A1,ST. MARGARET CATHOLIC SCHOOL  - LA-446
000452,P452,MISSING
000452,P452,NONE
000452,PO,MISSING
000452,PO,NONE
000454,2171B8646,ST. CECILIA SCHOOL 
000454,E454A1,ST. CECILIA SCHOOL  - TX-454
000454,E454A2,ST. CECILIA SCHOOL  - TX-454
000454,S 454,ST. CECILIA SCHOOL 
000464,000000,Discontinued Account - TX-000000
000464,P464,NONE
000464,PO,NONE
000464,S 464,NONE
000465,000000,Episcopal High School
000465,E465A1,EPISCOPAL HIGH SCHOOL  - TX-465
000465,E465A2,EPISCOPAL HIGH SCHOOL  - TX-465
000468,2171B7976,ST. MARYS CATHOLIC SCHOOL 
000468,2171B7977,ST. MARYS CATHOLIC SCHOOL 
000468,2171B7978,ST. MARYS CATHOLIC SCHOOL 
000468,2171B7979,ST. MARYS CATHOLIC SCHOOL 
000468,2171B7980,ST. MARYS CATHOLIC SCHOOL 
000468,2171B7981,ST. MARYS CATHOLIC SCHOOL 
000468,2171B8754,ST. MARYS CATHOLIC SCHOOL 
000468,2171B8755,ST. MARYS CATHOLIC SCHOOL 
000469,E470A1,Discontinued Account - TX-000000
000469,E470A2,Discontinued Account - TX-000000
000469,E470B1,Discontinued Account - TX-000000
000469,E470C1,Discontinued Account - TX-000000
000470,2171B7654,ST. DOMINIC SCHOOL FOR BOYS 
000470,2171B7655,ST. DOMINIC SCHOOL FOR BOYS 
000470,2171B7656,ST. DOMINIC SCHOOL FOR BOYS 
000470,E-470C2,ST. DOMINIC SCHOOL FOR BOYS 
000470,S 470,ST. DOMINIC SCHOOL FOR BOYS 
000471,E473A1,ST. MARY CATHOLIC SCHOOL-NEWTON  - KS-471
000471,E473A2,ST. MARY CATHOLIC SCHOOL-NEWTON  - KS-471
000471,S 471,ST. MARY CATHOLIC SCHOOL-NEWTON 
000472,000000,MISSING
000473,2171B1511,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3482,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3734,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3820,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3821,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3831,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3832,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3833,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3834,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3835,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,2171B3836,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,PO,IMMACULATE CONCEPTION CATHEDRAL SCH 
000473,S 473,IMMACULATE CONCEPTION CATHEDRAL SCH 
000477,2171B1069,ST. LOUIS SCHOOL 
000477,2171B1070,ST. LOUIS SCHOOL 
000477,2171B3681,ST. LOUIS SCHOOL 
000477,2171B3682,ST. LOUIS SCHOOL 
000477,2171B3753,ST. LOUIS SCHOOL 
000477,2171B3754,ST. LOUIS SCHOOL 
000477,2171B3755,ST. LOUIS SCHOOL 
000477,2171B3756,ST. LOUIS SCHOOL 
000477,2171B3757,ST. LOUIS SCHOOL 
000477,2171B3758,ST. LOUIS SCHOOL 
000477,2171B8184,ST. LOUIS SCHOOL 
000477,2171B8185,ST. LOUIS SCHOOL 
000477,2171B8186,ST. LOUIS SCHOOL 
000477,2171B8187,ST. LOUIS SCHOOL 
000477,2171B8910,ST. LOUIS SCHOOL 
000477,2171B8911,ST. LOUIS SCHOOL 
000477,E477A1,ST. LOUIS SCHOOL  - TN-477
000477,E477A2,ST. LOUIS SCHOOL  - TN-477
000477,S 477,ST. LOUIS SCHOOL 
000480,000000,ST. AGNES ACADEMY  - TN-480
000480,000000,St. Agnes Acdemy
000480,2171B362,ST. AGNES ACADEMY 
000480,2171B363,ST. AGNES ACADEMY 
000480,2171B364,ST. AGNES ACADEMY 
000480,2171B3759,ST. AGNES ACADEMY 
000480,2171B3760,ST. AGNES ACADEMY 
000480,2171B3761,ST. AGNES ACADEMY 
000480,2171B3762,ST. AGNES ACADEMY 
000480,2171B3763,ST. AGNES ACADEMY 
000480,2171B3764,ST. AGNES ACADEMY 
000480,2171B3765,ST. AGNES ACADEMY 
000480,2171B3766,ST. AGNES ACADEMY 
000480,2171B3767,ST. AGNES ACADEMY 
000480,2171B3768,ST. AGNES ACADEMY 
000480,2171B7619,ST. AGNES ACADEMY 
000480,2171B7628,ST. AGNES ACADEMY 
000480,2171B7645,ST. AGNES ACADEMY 
000480,2171B7646,ST. AGNES ACADEMY 
000480,2171B7647,ST. AGNES ACADEMY 
000480,2171B7648,ST. AGNES ACADEMY 
000480,2171B7653,ST. AGNES ACADEMY 
000480,2171B7855,ST. AGNES ACADEMY 
000480,2171B7856,ST. AGNES ACADEMY 
000480,2171B7857,ST. AGNES ACADEMY 
000480,2171B8048,ST. AGNES ACADEMY 
000480,2171B8049,ST. AGNES ACADEMY 
000480,2171B9095,ST. AGNES ACADEMY 
000480,E480A1,ST. AGNES ACADEMY  - TN-480
000480,E480A2,ST. AGNES ACADEMY  - TN-480
000480,E480B1,ST. AGNES ACADEMY  - TN-480
000480,E480B2,ST. AGNES ACADEMY  - TN-480
000480,E480B3,ST. AGNES ACADEMY  - TN-480
000480,E480D4,ST. AGNES ACADEMY  - TN-480
000480,E480D5,ST. AGNES ACADEMY  - TN-480
000480,E480D6,ST. AGNES ACADEMY  - TN-480
000480,E480D7,ST. AGNES ACADEMY  - TN-480
000480,S 480,ST. AGNES ACADEMY 
000480,VM480,ST. AGNES ACADEMY 
000481,2171B1319,HOLY ROSARY SCHOOL 
000481,2171B1320,HOLY ROSARY SCHOOL 
000481,2171B1321,HOLY ROSARY SCHOOL 
000481,2171B1322,HOLY ROSARY SCHOOL 
000481,2171B3486,HOLY ROSARY SCHOOL 
000481,2171B3487,HOLY ROSARY SCHOOL 
000481,2171B3792,HOLY ROSARY SCHOOL 
000481,2171B3793,HOLY ROSARY SCHOOL 
000481,2171B7858,HOLY ROSARY SCHOOL 
000481,2171B7859,HOLY ROSARY SCHOOL 
000481,E481A1,HOLY ROSARY SCHOOL  - TN-481
000481,E481A2,HOLY ROSARY SCHOOL  - TN-481
000481,ELM,HOLY ROSARY SCHOOL  - TN-481
000481,M481,HOLY ROSARY SCHOOL 
000481,S 481,HOLY ROSARY SCHOOL 
000482,EPO,MADONNA LEARNING CENTER  - TN-482
000482,S 482,MADONNA LEARNING CENTER 
000487,2171B8003,MACON ROAD BAPTIST SCHOOL 
000487,2171B8151,MACON ROAD BAPTIST SCHOOL 
000487,2171B8392,MACON ROAD BAPTIST SCHOOL 
000487,2171B8393,MACON ROAD BAPTIST SCHOOL 
000487,2171B8394,MACON ROAD BAPTIST SCHOOL 
